#File name --> SquareLakePopn.txt
#Simulated lengths, weights, sexes, and ages for the
#  population of 1014 fish in "Square Lake".
#  Lengths are in mm, weights are in grams.
#  File was sorted by Age
#
tl	fl	sl	w	age	sex
69	64	62	5.17	1	M
62	57	56	2.85	1	M
55	53	50	2.23	1	F
69	67	61	4.42	1	F
68	63	57	3.35	1	M
51	46	41	1.21	1	M
62	60	55	3.12	1	F
72	72	68	3.10	1	F
64	57	54	3.96	1	F
62	58	56	4.04	1	F
87	79	74	8.24	1	F
78	75	69	5.38	1	M
55	52	47	1.96	1	F
67	64	60	3.31	1	M
79	72	68	5.49	1	M
65	61	59	2.99	1	M
70	68	66	3.34	1	F
65	54	48	2.98	1	M
90	88	79	13.26	1	F
93	91	87	11.42	1	M
57	55	53	1.66	1	F
82	80	75	8.10	1	F
62	63	59	2.36	1	M
80	73	68	4.94	1	F
60	56	55	2.66	1	F
54	51	45	1.52	1	F
75	73	68	3.52	1	M
65	60	53	4.16	1	F
71	70	70	4.84	1	F
62	59	56	2.59	1	F
65	60	56	3.86	1	M
69	61	52	4.16	1	F
51	49	43	2.17	1	F
68	60	57	3.46	1	F
55	47	40	2.15	1	F
78	75	67	6.08	1	F
78	72	68	4.75	1	M
61	58	54	3.03	1	F
89	83	80	8.90	1	F
80	79	72	5.27	1	M
60	56	51	4.43	1	M
68	68	66	4.24	1	M
70	66	63	3.58	1	M
63	64	61	3.42	1	F
67	65	57	3.39	1	F
54	52	49	1.42	1	M
62	60	54	2.58	1	M
77	77	74	4.60	1	M
56	54	53	2.10	1	M
70	69	67	4.08	1	F
82	83	79	5.04	1	F
75	76	74	5.76	1	M
59	55	53	1.70	1	F
59	56	50	1.92	1	F
73	72	69	4.02	1	M
45	49	49	1.23	1	F
69	66	61	3.57	1	M
57	59	58	2.02	1	M
67	61	57	4.42	1	M
56	59	53	2.10	1	M
58	54	50	1.69	1	M
70	67	64	4.71	1	F
76	68	62	5.07	1	M
77	74	65	5.07	1	M
61	51	45	2.63	1	M
51	45	40	1.59	1	M
79	79	71	3.97	1	M
71	68	61	2.98	1	F
75	69	64	7.19	1	M
60	53	50	1.78	1	F
65	63	61	2.85	1	F
66	63	57	3.16	1	M
68	64	60	3.29	1	M
72	67	63	4.52	1	F
73	72	68	5.15	1	F
65	62	60	2.34	1	F
93	86	81	11.32	1	M
72	68	64	3.54	1	F
76	74	72	6.29	1	F
61	59	59	2.52	1	M
83	77	72	5.36	1	M
74	70	66	5.36	1	F
60	57	52	2.09	1	M
65	64	61	4.49	1	F
80	78	72	6.63	1	F
59	56	49	1.93	1	F
72	70	63	5.82	1	F
72	67	62	4.39	1	F
67	61	57	3.72	1	F
66	63	60	5.53	1	M
50	44	37	1.00	1	M
74	72	69	5.37	1	M
49	45	39	1.67	1	F
80	74	69	5.49	1	M
70	67	64	3.05	1	F
60	52	50	3.24	1	F
57	52	52	2.09	1	M
78	71	64	5.51	1	M
72	69	66	5.02	1	M
82	78	76	5.92	1	F
76	72	66	4.61	1	M
71	63	57	4.70	1	M
75	75	70	5.76	1	F
87	79	75	12.57	1	M
66	57	53	3.41	1	M
63	62	61	2.02	1	M
57	55	51	2.06	1	M
77	72	65	5.75	1	M
77	72	66	5.81	1	F
69	62	57	2.94	1	M
88	82	79	9.73	1	M
63	60	55	2.38	1	F
74	75	70	5.39	1	F
69	63	55	5.25	1	F
81	77	66	4.27	1	M
63	61	56	3.63	1	M
61	65	63	3.13	1	M
51	46	37	1.66	1	F
67	62	57	3.06	1	M
60	52	49	3.58	1	F
68	62	57	3.97	1	M
74	63	59	7.00	1	F
59	55	56	2.63	1	F
71	64	61	5.41	1	M
72	71	63	6.15	1	F
69	66	63	3.05	1	F
61	60	55	2.32	1	F
74	64	57	4.73	1	F
71	67	61	5.55	1	M
68	60	57	3.02	1	M
78	76	71	4.48	1	M
78	76	71	3.85	1	M
95	89	84	6.28	1	F
65	62	56	3.40	1	F
64	60	53	3.47	1	F
74	72	67	5.46	1	M
87	81	73	5.00	1	F
73	65	63	4.60	1	F
63	58	56	2.59	1	M
79	77	69	5.50	1	M
62	57	53	2.27	1	M
47	41	43	1.59	1	M
73	70	64	3.75	1	M
69	66	60	5.29	1	M
73	68	67	4.59	1	F
81	76	73	6.92	1	F
68	66	60	5.09	1	F
87	83	76	5.36	1	M
52	46	44	1.42	1	F
70	64	62	3.83	1	M
84	75	71	7.50	1	F
63	57	55	3.58	1	F
75	69	63	3.49	1	M
82	80	76	4.85	1	F
67	68	65	3.82	1	M
73	70	65	5.30	1	F
69	69	68	4.49	1	M
83	78	69	7.18	1	F
73	67	63	5.01	1	F
62	59	54	2.09	1	M
60	52	46	2.96	1	F
61	55	52	2.40	1	M
75	72	66	4.83	1	M
78	73	66	5.86	1	F
76	68	63	5.17	1	F
85	80	77	6.47	1	M
93	92	88	8.15	1	M
82	80	77	5.38	1	M
60	56	53	2.05	1	M
66	60	55	2.92	1	M
60	53	49	3.22	1	F
69	60	59	2.83	1	M
79	75	72	8.01	1	M
77	71	70	4.43	1	F
63	60	57	3.44	1	F
66	65	59	2.75	1	F
64	60	55	2.40	1	M
71	71	66	6.29	1	M
71	69	63	4.13	1	M
65	61	58	4.05	1	M
78	72	67	6.16	1	F
80	75	71	5.26	1	M
86	81	75	7.19	1	F
72	68	66	2.47	1	F
79	69	66	8.15	1	M
68	66	60	3.25	1	F
63	66	63	3.39	1	F
66	61	58	3.54	1	F
69	60	53	2.99	1	M
84	78	75	8.02	1	M
68	65	60	4.58	1	F
74	71	69	3.94	1	M
66	62	58	4.13	1	F
76	69	63	4.97	1	M
78	74	70	5.61	1	F
85	79	75	5.61	1	M
54	50	43	1.79	1	M
66	60	61	4.66	1	M
66	62	55	2.92	1	M
72	68	61	4.22	1	M
64	55	50	2.42	1	F
64	65	63	3.12	1	M
57	57	52	2.02	1	F
68	68	65	3.24	1	M
60	63	60	2.76	1	F
75	70	68	5.13	1	F
63	60	55	2.89	1	M
75	72	68	5.32	1	F
68	66	61	5.03	1	F
75	68	63	4.07	1	M
62	56	55	1.73	1	F
59	52	50	2.19	1	M
50	52	50	1.73	1	F
64	58	49	2.70	1	M
63	60	59	3.17	1	F
64	60	56	3.96	1	F
68	63	58	4.85	1	F
77	71	67	4.05	1	F
60	53	51	2.58	1	M
77	69	66	6.06	1	M
64	62	59	3.09	1	M
65	59	57	3.38	1	F
63	61	55	4.05	1	F
67	67	65	3.37	1	M
63	57	55	2.70	1	M
75	69	63	5.32	1	M
65	61	57	3.96	1	F
71	63	59	3.50	1	M
60	61	54	3.94	1	F
59	58	52	2.20	1	M
70	66	62	4.54	1	F
73	73	70	3.02	1	F
77	78	69	6.69	1	F
54	57	53	1.58	1	M
71	68	62	4.54	1	M
70	66	65	2.67	1	F
64	66	60	3.83	1	F
80	75	74	7.13	1	M
59	57	53	2.27	1	M
70	67	64	3.59	1	F
74	73	70	3.74	1	F
69	59	57	2.85	1	F
57	50	44	2.01	1	F
56	54	48	3.13	1	M
65	65	62	3.51	1	M
68	64	61	2.58	1	F
82	77	70	8.36	1	F
73	75	72	4.25	1	M
60	62	57	2.62	1	F
74	68	61	7.11	1	M
51	46	41	1.12	1	F
70	60	56	3.53	1	F
66	66	59	5.81	1	M
67	63	61	3.82	1	F
72	74	63	4.52	1	F
64	60	56	3.38	1	F
60	57	52	2.18	1	M
55	54	48	2.08	1	F
66	68	63	3.03	1	M
60	57	54	4.53	1	M
63	61	55	4.11	1	F
49	49	45	1.96	1	F
69	63	63	5.30	1	M
70	62	56	3.77	1	M
76	74	67	4.31	1	M
68	66	59	4.31	1	M
68	62	59	4.15	1	F
77	73	71	5.29	1	F
68	64	58	2.46	1	F
86	80	75	7.41	1	F
76	69	64	4.46	1	M
78	77	70	5.00	1	M
63	56	48	3.69	1	M
75	69	66	5.21	1	F
67	60	57	2.71	1	F
83	78	73	4.93	1	F
64	57	52	4.12	1	M
71	67	61	4.65	1	M
64	62	57	4.04	1	F
77	68	62	5.25	1	M
75	70	66	5.16	1	F
65	61	57	2.60	1	M
45	45	42	1.02	1	M
75	76	69	6.03	1	F
57	48	42	2.00	1	M
71	68	61	4.15	1	M
78	77	71	4.80	1	M
91	89	82	7.60	1	M
79	78	70	6.19	1	M
63	61	54	2.43	1	M
73	67	63	6.73	1	M
69	68	62	4.30	1	F
68	63	60	2.85	1	F
79	76	75	6.40	1	F
62	60	57	3.48	1	F
79	78	75	4.53	1	M
69	66	62	5.17	1	F
56	54	50	2.97	1	M
70	69	67	3.59	1	M
93	90	84	8.37	1	M
57	53	47	2.02	1	M
68	60	56	3.82	1	F
73	68	64	6.39	1	M
57	45	42	2.67	1	M
81	75	69	6.31	1	F
67	64	60	2.71	1	M
70	64	57	3.84	1	M
71	66	62	5.27	1	F
66	66	60	2.80	1	M
70	65	59	3.15	1	M
83	79	74	10.42	1	F
65	65	63	4.15	1	F
83	80	78	5.38	1	M
62	59	51	2.74	1	M
73	68	64	3.02	1	F
84	79	72	6.84	1	F
77	72	63	4.97	1	M
62	54	50	4.27	1	M
69	67	64	3.88	1	M
44	41	38	1.28	1	M
76	73	67	4.61	1	M
81	82	76	6.45	1	F
80	77	75	5.91	1	F
74	76	73	5.39	1	F
84	83	80	5.53	1	M
90	86	81	8.07	1	M
73	66	59	6.22	1	M
82	82	81	8.13	1	F
74	70	67	4.69	1	M
74	72	65	7.63	1	M
80	74	66	6.44	1	F
63	59	58	3.83	1	M
87	82	74	6.46	1	F
64	63	59	2.59	1	M
44	35	31	1.08	1	M
77	74	71	3.37	1	M
64	61	53	3.03	2	M
80	76	71	6.53	2	M
97	95	87	9.83	2	M
87	81	79	5.89	2	M
120	110	101	19.92	2	F
102	97	87	11.47	2	M
101	95	86	12.25	2	F
83	77	67	6.75	2	F
116	112	104	16.40	2	M
98	96	91	10.39	2	F
76	76	72	4.96	2	M
87	84	80	7.39	2	M
100	95	90	13.23	2	F
111	107	103	9.82	2	F
90	86	82	9.22	2	F
115	111	105	19.01	2	F
63	58	53	2.54	2	M
96	90	85	9.47	2	M
120	114	108	16.94	2	M
110	106	101	13.57	2	M
108	107	100	12.91	2	M
95	89	84	8.04	2	M
107	99	92	10.39	2	M
110	102	95	13.35	2	M
95	90	84	8.73	2	M
92	87	82	9.09	2	F
87	78	68	8.86	2	M
117	114	104	14.80	2	F
97	89	84	10.94	2	F
101	92	86	7.98	2	F
100	97	90	11.13	2	F
117	110	103	15.45	2	F
101	91	85	12.50	2	F
123	115	107	20.57	2	F
108	98	92	12.39	2	M
117	111	102	23.19	2	F
97	93	85	9.07	2	F
104	103	98	10.61	2	M
120	111	109	14.64	2	M
102	98	92	11.69	2	F
86	82	77	8.75	2	F
126	122	119	24.29	2	M
129	120	114	25.55	2	F
108	103	94	12.33	2	M
104	99	93	15.97	2	M
91	94	88	8.81	2	F
121	121	117	21.64	2	F
114	108	102	16.39	2	F
73	68	67	5.33	2	F
92	89	83	10.91	2	F
94	82	75	6.75	2	M
81	74	67	6.71	2	F
94	82	75	9.47	2	F
115	104	96	15.97	2	M
86	84	79	7.73	2	F
110	105	97	13.78	2	M
104	98	92	15.33	2	F
87	79	72	4.22	2	F
111	104	94	16.21	2	M
85	81	76	4.96	2	F
86	86	82	9.04	2	F
110	104	95	12.49	2	M
66	63	58	4.45	2	M
92	89	85	8.17	2	M
111	104	97	14.67	2	M
81	76	71	5.94	2	M
114	109	105	18.03	2	F
99	95	86	11.68	2	M
95	89	84	11.26	2	F
99	97	92	10.27	2	M
108	100	96	19.68	2	M
107	99	90	12.50	2	M
92	87	82	9.46	2	F
88	83	78	8.49	2	F
79	77	71	5.53	2	M
118	109	103	13.97	2	M
127	121	115	15.80	2	M
130	123	116	19.58	2	M
84	77	68	7.44	2	F
107	104	100	14.56	2	M
92	85	84	7.99	2	M
99	93	89	9.36	2	F
102	92	90	12.09	2	F
114	109	103	14.63	2	M
109	108	100	15.20	2	F
124	122	115	13.88	2	F
104	99	94	12.60	2	F
90	82	73	8.07	2	M
103	98	93	12.24	2	F
96	88	82	10.73	2	F
86	71	66	7.89	2	F
105	104	98	11.85	2	M
91	90	81	9.87	2	M
114	111	101	19.56	2	M
113	107	106	14.48	2	M
110	108	99	16.67	2	F
98	94	88	10.83	2	F
87	88	84	6.53	2	M
113	104	97	10.07	2	M
109	102	97	19.76	2	M
88	86	80	8.29	2	M
118	109	105	19.78	2	F
103	95	92	9.46	2	F
104	99	97	9.32	2	F
91	87	79	7.91	2	M
105	105	101	10.94	2	M
101	98	91	9.50	2	M
79	76	70	5.80	2	F
112	106	100	15.88	2	F
107	103	99	14.20	2	F
116	111	104	17.26	2	F
77	66	64	5.43	2	F
110	104	93	20.07	2	M
84	78	73	6.98	2	M
88	81	74	5.78	2	M
113	104	98	10.08	2	M
111	108	101	14.35	2	M
107	102	97	12.74	2	M
108	102	95	15.13	2	F
83	79	74	7.44	2	M
94	90	82	10.30	2	F
62	57	51	2.55	2	M
100	96	89	11.48	2	F
114	101	95	13.65	2	M
113	104	96	12.64	2	F
96	91	87	7.27	2	F
116	107	102	17.34	2	F
92	91	87	7.44	2	M
123	116	106	16.45	2	M
114	107	100	15.16	2	M
94	97	92	8.89	2	M
136	125	121	33.86	2	F
103	95	91	13.24	2	M
101	89	84	13.88	2	F
99	91	85	11.82	2	F
112	109	105	12.41	2	M
104	101	96	13.56	2	M
98	93	89	12.18	2	F
88	82	80	5.73	2	F
112	103	93	10.95	2	M
102	100	96	11.71	2	F
112	107	100	13.44	2	M
76	68	64	3.72	2	F
87	77	72	7.50	2	F
107	98	91	12.09	2	M
97	86	81	11.74	2	F
103	102	100	15.25	2	F
102	96	91	9.56	2	F
114	107	102	16.00	2	F
68	63	60	2.47	2	M
103	92	85	11.57	2	M
83	80	74	5.09	2	M
106	99	92	10.60	2	M
110	107	95	22.13	2	M
109	103	99	13.54	2	M
120	119	113	22.24	2	F
80	71	64	5.93	2	F
92	92	84	5.99	2	F
97	96	88	12.22	2	F
95	91	84	11.61	2	F
74	68	70	6.08	2	F
116	111	104	16.10	2	M
117	105	94	21.76	2	M
98	93	88	10.40	2	F
101	98	93	10.26	2	M
106	103	97	11.45	2	M
103	101	94	11.84	2	M
95	87	80	12.39	2	M
78	76	70	5.57	2	F
102	94	88	12.54	2	F
119	113	109	16.45	2	F
110	107	101	14.61	2	F
100	92	86	11.13	2	F
91	90	83	6.02	2	F
109	105	100	9.05	2	F
87	85	77	8.94	2	M
86	84	79	4.89	2	M
103	99	92	13.43	2	F
113	109	103	13.97	2	F
86	87	80	6.91	2	M
115	113	107	22.65	2	F
79	71	67	4.19	2	M
100	97	89	10.82	2	M
101	91	86	20.33	2	M
91	89	83	10.07	2	M
88	85	79	6.99	2	M
109	99	91	17.55	2	M
97	96	93	10.00	2	M
93	86	83	9.82	2	M
101	93	88	15.10	2	F
106	104	99	11.39	2	F
63	57	51	3.17	2	F
89	90	81	8.96	2	F
85	84	79	7.66	2	M
105	100	92	14.41	2	F
133	129	122	21.19	2	M
102	97	92	15.58	2	M
118	115	112	15.38	2	M
105	99	91	13.76	2	F
104	105	99	16.45	2	M
109	100	92	16.48	2	F
100	96	92	11.07	2	F
101	99	93	13.96	2	F
99	94	91	10.85	2	F
91	85	77	12.02	2	F
129	121	115	23.03	2	F
93	89	85	11.65	2	M
93	84	80	7.73	2	M
106	101	96	12.83	2	M
111	106	100	13.95	2	M
84	77	71	8.06	2	M
80	75	71	6.63	2	F
100	100	94	10.41	2	M
79	77	73	7.94	2	F
114	111	104	20.88	2	F
99	96	89	9.53	2	M
107	104	95	10.27	2	M
87	85	82	6.14	2	M
108	104	99	11.75	2	M
100	95	90	10.74	2	M
107	103	94	10.35	2	F
105	108	102	16.46	2	F
109	102	94	13.66	2	M
75	72	67	5.65	2	F
84	82	77	5.96	2	F
100	95	92	17.08	2	M
111	104	99	20.34	2	M
95	90	82	10.82	2	F
113	104	99	13.09	2	M
80	76	69	4.97	2	M
95	82	78	12.66	2	F
125	118	113	23.06	2	M
103	96	84	12.24	2	F
92	87	83	8.72	2	F
123	117	113	15.62	2	F
92	88	85	9.51	2	F
84	81	76	4.64	2	M
104	94	88	13.36	2	F
91	88	80	8.55	2	F
110	100	95	12.69	2	M
104	98	91	14.57	2	F
85	82	78	6.38	2	M
115	110	103	13.30	2	M
84	78	73	6.88	2	F
117	109	101	17.15	2	F
101	94	87	13.44	2	F
104	103	96	8.41	2	F
102	96	89	10.46	2	M
91	92	90	9.04	2	F
98	95	88	10.54	2	M
105	97	88	16.68	2	M
96	90	86	10.68	2	F
104	102	96	16.30	2	M
122	110	101	16.62	2	M
112	110	102	16.77	2	F
111	108	102	14.97	2	F
95	85	76	7.74	2	M
132	126	123	19.88	2	M
96	91	88	8.53	2	M
98	91	84	10.05	2	M
89	87	82	7.47	2	M
114	104	98	18.64	2	F
126	124	118	17.36	2	M
117	109	105	22.52	2	M
100	97	90	10.47	2	F
114	112	107	13.96	2	M
76	70	69	5.13	2	F
104	105	101	12.63	2	F
85	77	71	5.42	2	M
103	96	91	11.90	2	M
127	122	114	18.43	2	M
130	123	115	14.52	2	M
100	95	90	10.08	2	M
136	133	126	26.29	2	F
78	73	69	5.26	2	M
105	98	91	10.47	2	M
67	63	58	3.46	2	M
133	124	119	20.68	2	F
121	112	103	16.99	2	M
84	77	73	6.31	2	M
85	85	82	6.11	2	F
86	86	82	5.09	2	M
110	103	97	13.66	2	M
59	59	55	2.60	2	F
116	109	102	10.86	2	F
95	88	82	11.71	2	F
103	96	89	12.12	2	F
87	87	81	6.32	2	M
121	112	107	17.21	2	M
133	126	118	20.18	2	M
95	94	88	14.91	2	M
78	77	73	5.73	2	F
97	90	82	8.81	2	F
111	109	101	11.96	2	M
72	64	59	3.94	2	M
68	61	55	5.80	2	F
101	98	92	13.93	2	F
96	90	86	11.15	2	F
91	92	85	8.90	2	F
103	97	91	14.65	2	F
70	65	61	5.63	2	F
98	93	87	9.80	2	M
95	91	83	11.17	2	F
39	36	33	0.78	2	M
113	109	107	14.12	2	F
88	85	78	7.09	3	M
119	113	110	17.51	3	M
135	132	125	28.06	3	F
122	113	108	24.77	3	F
105	102	95	12.88	3	F
103	103	96	13.63	3	F
129	123	116	15.76	3	F
114	108	104	19.39	3	M
93	89	83	9.64	3	F
116	117	113	14.14	3	M
117	110	104	21.70	3	M
151	145	134	30.29	3	F
124	119	112	13.90	3	M
127	126	115	20.07	3	M
120	119	115	14.93	3	M
117	115	106	14.12	3	M
95	92	90	9.15	3	M
80	77	70	5.59	3	M
149	139	131	33.28	3	M
99	93	84	12.78	3	F
97	89	86	10.50	3	F
129	125	117	20.32	3	M
114	105	99	12.50	3	F
111	104	97	14.22	3	M
100	97	93	10.07	3	M
117	111	104	19.62	3	M
117	118	115	17.37	3	F
124	119	113	21.66	3	F
134	121	114	32.31	3	F
140	132	125	30.80	3	F
105	102	95	13.64	3	F
140	135	127	31.77	3	F
151	142	134	24.14	3	F
122	117	109	16.57	3	F
113	105	100	16.44	3	F
117	110	105	13.07	3	F
143	136	131	32.78	3	F
111	108	106	15.14	3	F
113	107	104	13.94	3	F
116	108	103	10.99	3	F
133	124	115	21.96	3	M
115	114	108	14.28	3	M
113	109	106	11.81	3	F
133	124	115	22.19	3	M
124	118	112	22.27	3	F
126	117	106	19.55	3	M
142	136	129	22.48	3	M
117	107	102	18.60	3	F
101	95	92	13.43	3	F
151	141	132	45.87	3	F
116	109	101	15.83	3	M
109	100	97	15.53	3	M
97	95	86	11.24	3	F
119	113	104	19.34	3	F
140	131	122	42.57	3	F
127	125	119	16.25	3	M
133	131	127	31.26	3	F
113	105	97	14.25	3	M
144	137	131	38.12	3	F
120	116	112	17.95	3	F
121	115	107	19.64	3	F
91	79	74	6.44	3	M
116	113	106	11.58	3	M
139	131	121	22.97	3	M
130	125	120	19.35	3	F
134	128	119	32.95	3	F
110	104	95	17.82	3	F
138	135	130	24.90	3	M
104	98	95	13.83	3	M
85	78	76	7.25	3	F
100	97	93	11.75	3	F
115	110	102	12.65	3	F
88	80	76	8.68	3	F
110	102	96	8.10	3	F
102	102	99	13.45	3	F
121	111	103	21.33	3	F
119	113	106	22.74	3	F
115	106	102	18.36	3	F
127	119	110	23.60	3	F
112	105	97	15.56	3	F
126	123	119	23.48	3	F
101	97	92	7.52	3	F
124	118	111	19.76	3	M
108	101	94	18.22	3	F
128	121	116	28.53	3	F
113	102	99	17.02	3	F
78	70	65	6.87	3	F
143	139	136	23.06	3	F
126	124	116	19.12	3	F
114	106	99	19.30	3	F
124	115	108	17.92	3	M
115	107	104	15.15	3	M
128	121	116	17.73	3	F
122	117	112	31.56	3	M
135	134	126	20.68	3	M
111	110	105	16.25	3	F
137	135	123	23.62	3	M
115	108	101	21.14	3	M
105	97	88	13.67	3	F
123	118	115	23.85	3	F
127	122	115	31.08	3	M
112	110	105	13.41	3	M
139	124	116	28.15	3	F
110	105	100	12.37	3	M
124	116	109	24.07	3	F
124	112	107	17.44	3	M
108	95	87	12.23	3	M
134	129	121	18.89	3	F
112	103	97	17.38	3	M
120	113	107	18.05	3	M
121	117	113	15.91	3	M
121	115	109	22.40	3	M
133	130	120	30.31	3	F
97	95	88	10.77	3	F
94	85	81	10.04	3	F
117	109	103	13.32	3	F
123	118	111	25.18	3	M
136	128	125	23.00	3	F
116	112	105	14.41	3	F
116	109	101	24.70	3	M
136	134	126	36.30	3	F
115	108	102	23.05	3	M
118	113	106	20.51	3	M
129	120	117	26.25	3	F
106	98	92	14.50	3	F
131	125	120	23.24	3	M
122	120	117	19.56	3	F
108	100	91	14.25	3	F
113	103	98	22.23	3	F
116	112	106	14.04	3	M
124	122	113	19.58	3	M
128	116	109	20.86	3	M
103	99	93	17.79	3	M
114	108	101	11.58	3	M
142	131	127	23.18	3	F
110	106	101	17.55	3	F
106	95	90	9.41	3	M
133	126	121	26.79	3	F
111	103	95	19.20	3	M
92	88	85	6.80	3	M
112	105	96	14.33	3	M
116	110	105	14.98	3	M
139	130	122	23.18	3	M
83	75	71	6.98	3	F
110	102	92	12.18	3	M
120	109	102	15.88	3	M
140	131	123	31.79	4	F
151	143	137	53.58	4	M
148	141	132	32.83	4	M
135	126	120	21.16	4	M
127	119	112	15.41	4	M
161	154	146	37.52	4	M
135	134	129	23.51	4	M
117	109	105	21.30	4	F
132	132	129	30.13	4	F
166	152	145	42.61	4	M
138	129	122	22.71	4	M
143	137	127	28.08	4	M
155	150	140	33.63	4	M
117	113	105	26.45	4	M
131	125	121	25.83	4	F
142	139	132	27.37	4	M
128	122	115	20.66	4	M
144	135	126	25.96	4	F
133	126	115	18.34	4	M
168	159	151	39.78	4	M
145	139	133	26.25	4	M
140	130	120	32.63	4	F
114	111	106	12.94	4	M
162	155	148	48.74	4	F
127	124	116	20.34	4	M
128	124	114	22.26	4	F
172	167	161	33.16	4	F
143	129	126	41.83	4	M
139	132	126	36.12	4	M
163	154	146	55.14	4	M
116	117	112	20.73	4	M
159	155	148	26.14	4	F
132	124	118	26.95	4	F
115	110	107	16.87	4	F
122	116	111	22.68	4	F
146	141	133	32.79	4	F
156	149	139	34.48	4	M
119	110	102	18.20	4	F
119	110	102	17.83	4	M
156	152	140	47.02	4	F
135	130	119	33.69	4	F
143	138	132	25.86	4	M
95	88	82	11.82	4	F
134	122	114	21.59	4	M
136	125	117	28.80	4	F
155	146	141	29.15	4	M
118	108	99	13.45	4	F
140	130	123	27.81	4	M
111	103	98	15.33	4	F
150	141	135	30.52	4	M
166	155	144	51.53	5	F
151	145	140	50.84	5	F
123	121	118	16.89	5	M
150	143	133	30.87	5	M
152	143	132	26.66	5	M
165	159	150	38.73	5	M
138	130	127	30.31	5	F
155	145	137	31.22	5	M
174	166	158	50.37	5	M
147	137	131	37.55	5	F
113	102	96	10.93	5	M
177	169	159	60.93	5	F
164	159	151	61.29	5	M
144	133	124	40.87	5	F
179	172	160	67.11	5	F
133	128	119	18.90	5	M
149	144	135	38.36	5	F
140	131	122	30.72	5	F
150	140	127	43.75	5	F
168	162	153	54.77	5	F
162	154	147	33.14	5	F
159	155	146	48.30	5	M
136	129	122	29.18	5	F
157	154	143	45.11	5	M
157	150	141	46.29	5	F
161	152	145	32.63	5	M
139	126	118	24.25	5	M
139	133	126	27.08	5	M
144	138	131	30.40	5	M
161	148	141	56.69	5	M
128	126	115	18.27	5	F
151	149	140	33.01	5	M
162	153	148	56.50	5	F
137	132	124	31.27	5	M
145	135	125	32.08	5	F
143	136	128	55.71	5	M
145	136	133	26.06	5	F
153	149	140	40.51	5	M
156	147	141	34.82	5	M
142	137	132	25.05	5	M
166	160	155	39.95	5	F
151	142	133	41.34	6	M
162	158	151	35.57	6	M
157	144	135	38.60	6	M
166	161	153	45.06	6	M
169	159	150	51.44	6	F
145	142	133	36.06	6	F
141	131	118	33.16	6	F
149	141	134	28.48	6	M
149	141	131	35.12	6	F
173	165	154	50.13	6	M
134	128	122	18.50	6	F
181	173	165	49.00	6	F
128	117	114	18.06	6	M
153	141	134	31.85	6	M
181	176	169	53.57	6	M
144	138	131	38.09	6	M
160	156	150	48.84	6	F
165	154	147	35.10	6	M
173	171	163	70.87	6	M
145	139	129	42.44	6	M
157	148	135	38.28	6	M
156	150	144	41.29	6	F
150	141	134	27.11	6	F
141	137	128	20.09	6	M
144	139	130	31.10	6	F
171	160	149	49.00	6	M
148	145	137	41.17	6	M
138	137	128	33.50	6	F
179	172	162	48.79	6	M
164	155	148	30.35	6	M
164	157	149	43.22	6	M
174	167	154	58.41	7	M
